id,neighbourhood_group_name,neighbourhood_Name
1355948,Auckland,Albert-Eden-Puketāpapa Ward
1370679,Auckland,Howick Ward
1370837,Queenstown-Lakes District,Wanaka Ward
1383163,Hastings District,Heretaunga Ward
1388917,Tasman District,Moutere-Waimea Ward
1389017,Tasman District,Moutere-Waimea Ward
1412321,Auckland,Waitematā and Gulf Ward
1422025,Auckland,Ōrākei Ward
1422630,Kapiti Coast District,Paraparaumu Ward
1428989,Timaru District,Geraldine Ward
1429281,Christchurch City,Halswell Ward
1433761,Hurunui District,East Ward
1442915,Auckland,Waitematā and Gulf Ward
1461771,Christchurch City,Heathcote Ward
1462316,Auckland,Albany Ward
1462374,Auckland,Albert-Eden-Puketāpapa Ward
1467329,Rotorua District,Area Outside Ward
1485437,Rotorua District,Area Outside Ward
1489711,Upper Hutt City,Area Outside Ward
1489749,Hamilton City,West Ward
1499547,Nelson City,Area Outside Ward
1504419,Christchurch City,Burwood Ward
1520618,Queenstown-Lakes District,Wanaka Ward
1520933,Kaikoura District,Area Outside Ward
1526506,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1539069,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1572212,Tasman District,Moutere-Waimea Ward
1574846,Gisborne District,Gisborne Ward
1574992,Far North District,Te Hiku Ward
1578236,Kaipara District,Mangawhai-Kaiwaka Ward
1584191,Rotorua District,Area Outside Ward
1584860,Buller District,Westport Ward
1598746,Kaikoura District,Area Outside Ward
1598749,Thames-Coromandel District,Mercury Bay Ward
1603405,Auckland,Waitematā and Gulf Ward
1607581,Wellington City,Motukairangi/Eastern Ward
1615495,Porirua City,Northern Ward/Pukerua ki te Raki
1624327,Whangarei District,Denby Ward
1633712,Auckland,Waitematā and Gulf Ward
1634781,Tasman District,Moutere-Waimea Ward
1636252,Auckland,Waitematā and Gulf Ward
1650991,Waikato District,Hukanui-Waerenga Ward
1661671,Waikato District,Hukanui-Waerenga Ward
1661966,Rotorua District,Area Outside Ward
1664774,Auckland,Albany Ward
1668630,Auckland,Albany Ward
1669003,Porirua City,Northern Ward/Pukerua ki te Raki
1678126,Queenstown-Lakes District,Wanaka Ward
1697144,Rotorua District,Area Outside Ward
1699572,Tasman District,Moutere-Waimea Ward
1709140,Wellington City,Pukehīnau/Lambton Ward
1714172,Kaikoura District,Area Outside Ward
1718342,Auckland,North Shore Ward
1718995,Queenstown-Lakes District,Wanaka Ward
1742177,Southland District,Mararoa Waimea Ward
1742982,Nelson City,Area Outside Ward
1747900,New Plymouth District,New Plymouth City Ward
1755980,Kaipara District,West Coast-Central Ward
1759795,Auckland,Waitematā and Gulf Ward
1763771,Taupo District,Taupō Ward
1769800,Wellington City,Pukehīnau/Lambton Ward
1783401,Waipa District,Kakepuku Ward
1797132,Thames-Coromandel District,Thames Ward
1798383,Christchurch City,Burwood Ward
1803502,Wellington City,Pukehīnau/Lambton Ward
1807728,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1822665,Whakatane District,Rangitāiki Ward 
1837611,Christchurch City,Fendalton Ward
1837975,Selwyn District,Selwyn Central Ward
1841463,Christchurch City,Heathcote Ward
1848015,Auckland,Rodney Ward
1852333,Thames-Coromandel District,Mercury Bay Ward
1866848,Central Otago District,Cromwell Ward
1873586,Queenstown-Lakes District,Wanaka Ward
1886744,Taupo District,Turangi-Tongariro Ward
1893596,Christchurch City,Banks Peninsula Ward
1907091,Auckland,Waitematā and Gulf Ward
1909016,Tasman District,Moutere-Waimea Ward
1909320,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1910225,Wellington City,Paekawakawa/Southern Ward
1910701,Kapiti Coast District,Paekākāriki-Raumati Ward
1915935,Waipa District,Pirongia Ward
1916015,Waipa District,Pirongia Ward
1918511,Auckland,Rodney Ward
1919747,Westland District,Northern Ward
1925696,Queenstown-Lakes District,Queenstown-Wakatipu Ward
1936950,Hamilton City,East Ward
1950431,Auckland,Waitematā and Gulf Ward
1955613,Far North District,Te Hiku Ward
1955632,Far North District,Te Hiku Ward
1957261,Auckland,Waitākere Ward
1970853,Thames-Coromandel District,Mercury Bay Ward
1976412,Thames-Coromandel District,Coromandel-Colville Ward
1979276,Waikato District,Huntly Ward
1984210,Tauranga City,Mount Maunganui-Papamoa Ward
1984316,Auckland,Albany Ward
1985012,Queenstown-Lakes District,Wanaka Ward
1989391,Nelson City,Area Outside Ward
1995009,Ruapehu District,Waimarino-Waiouru Ward
1999755,Western Bay of Plenty District,Katikati-Waihi Beach Ward
2000495,Ruapehu District,Waimarino-Waiouru Ward
2001000,Waitaki District,Ahuriri Ward
2009003,Christchurch City,Banks Peninsula Ward
2009056,Dunedin City,Area Outside Ward
2012567,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2018102,Far North District,Te Hiku Ward
2027477,Rotorua District,Area Outside Ward
2028920,Auckland,Waitematā and Gulf Ward
2033180,Kapiti Coast District,Ōtaki Ward 
2033296,Masterton District,Area Outside Ward
2037535,Kaipara District,Otamatea Ward
2038257,Wellington City,Paekawakawa/Southern Ward
2046470,Thames-Coromandel District,Mercury Bay Ward
2053554,Auckland,Waitākere Ward
2059618,Auckland,Waitākere Ward
2061500,Gore District,Kaiwera-Waimumu Ward
2072029,Queenstown-Lakes District,Wanaka Ward
2075950,Dunedin City,Area Outside Ward
2079184,Nelson City,Area Outside Ward
2079792,Far North District,Bay of Islands-Whangaroa Ward
2088764,Westland District,Hokitika Ward
2088784,Queenstown-Lakes District,Wanaka Ward
2088837,Queenstown-Lakes District,Wanaka Ward
2088949,Queenstown-Lakes District,Wanaka Ward
2098301,Hastings District,Hastings-Havelock North Ward
2099151,Napier City,Nelson Park Ward
2105559,Auckland,Albany Ward
2127546,Tasman District,Moutere-Waimea Ward
2130716,Wellington City,Motukairangi/Eastern Ward
2130876,Auckland,Rodney Ward
